Current Population,Population Growth Rate,Internal Migration,Overseas Migration,Population Density,Dwellings Approved 2022-23,Dwellings Approved 2023-24,Approval Value 2022-23,Approval Value 2023-24,Approval Growth Rate,20yr Population Growth,10yr Population Growth,5yr Population Growth,Growth Acceleration,Consecutive Growth Years,2025-26 Approvals FYTD,SEIFA Disadvantage Index,SEIFA Advantage Index,SEIFA Economic Index,SEIFA Education Index,sa2_name
-3.8157394,-1.2062463,-0.03937828,-2.9016373,-1.77226,-1.4010681,1.5454296,-0.4989812,-0.90886235,-0.14488298,-0.65054643,-0.6076955,-1.0037985,0.2336505,-1.1919107,-2.2645988,0.33214742,0.020540193,0.2231663,-0.25945273,Oberon
0.65843505,-1.6582465,-0.55577433,-0.2239822,0.7230473,2.8452015,0.45964125,1.0964191,-0.11596565,-1.3482006,0.13179424,-1.4884589,-1.0474234,-0.10079237,-0.1532716,1.180413,0.7986309,-0.7292314,-2.276338,-0.48358148,Bathurst - South
1.2504084,-0.17792039,-0.3266535,-0.3406023,-0.45462686,-5.294158,1.9766626,-1.5534053,-0.56328243,0.77175814,0.42905253,0.85346884,0.013118293,-0.18286492,1.1397238,6.4324903,0.11788399,0.5117663,-1.7607431,-1.011224,Bathurst - West
-1.1922103,-0.8702896,-0.69107795,-0.35395804,-1.4316105,-3.8291416,-7.5243216,-1.9633776,-0.76780176,-0.12619358,-0.22832978,-1.9865673,-0.9431039,-0.44620275,-0.8489183,-5.90623,0.60247153,-0.113317154,0.47458997,-0.48515505,Condobolin
-0.60404116,-0.6626159,0.38766518,-0.6645296,-0.58223206,-0.18037403,-3.5563443,0.8736673,0.18644212,0.48727557,0.123943634,-1.172903,0.076093875,1.0142559,-1.0726235,-2.9056284,0.8622243,0.02716377,1.0987228,-0.059842266,Cowra
-1.1241645,-0.055613175,-0.124812886,-1.6850158,-0.9147577,-3.2668457,-5.8402963,-0.86835927,-0.40227497,0.12791371,-0.19741707,-0.225276,-0.33982044,0.29462913,-0.12972681,-5.6613255,0.16722342,0.42178765,0.3049056,-0.42212456,Cowra Surrounds
1.9826274,-1.3871397,1.3312565,0.17545487,-0.19153264,2.0541842,2.7563689,-0.08622139,-0.6557723,0.036357325,0.87034047,-1.1455786,0.19288853,1.3693926,-1.5029662,-2.3754413,0.22612415,0.012696611,1.01334,0.012518973,Forbes
-2.9237862,-0.9523858,0.8597309,-0.048123524,-1.0412445,-4.6038423,-11.1665125,-0.99846107,-0.009011924,0.17201771,-0.44617245,-1.1552684,-0.78392303,-0.026232574,-1.561683,-6.302261,0.41570273,-0.17583637,0.51621133,-0.5987638,Grenfell
1.6643617,-0.8240637,0.8245533,-0.72485304,-0.35388604,1.9776793,3.704707,1.0541071,-0.5530862,0.33231628,-0.8667016,-1.8529683,-0.59771043,-0.35917577,-1.404789,-8.999482,-0.05052456,-0.7949524,0.1499307,-0.32668555,Parkes (NSW)
-3.4039888,-1.1548363,-0.7866796,-1.3677193,-0.60904044,-4.737408,-11.033335,-2.042158,0.22264674,-0.110161975,0.04493826,-1.6902467,-0.7557307,-0.06991862,-2.0277305,-9.954788,0.17219532,-0.2175173,0.49198174,-0.7963315,Parkes Surrounds
-1.2896981,-0.8514999,-0.88229495,-0.74016094,-0.5180395,-6.050382,2.8337893,-1.07799,-0.6399972,0.6060085,0.14336102,-1.2188922,-0.5312152,0.40547693,-1.8270863,-0.36889568,0.37960234,1.7581815,0.24408752,-0.0056845276,West Wyalong
2.440771,-0.40787905,0.029399216,-0.6772708,-0.6797143,3.514898,-8.898531,0.36550826,-0.6802236,-0.8022682,-0.45203462,-1.795819,-1.2901245,1.0312288,-0.40993536,-0.61251855,0.6493461,-0.019755004,1.4540213,1.2051258,Lithgow
-1.789012,-0.86859685,0.067003995,-0.97133714,-1.3622495,0.6918968,0.15495144,0.61884576,-1.0704846,-0.67060685,-0.27315646,-1.4078999,-2.0293407,0.55332375,-0.19348688,-3.090606,0.07201174,-0.19101249,0.061076496,-0.11665814,Lithgow Surrounds
