sa2_name,state,pressure_score,erp_change_pct,growth_20yr,years_of_growth,dwellings_2526_fytd,seifa_disadvantage_score,total_dwellings_2023-24,lat,lon
Forestville - Killarney Heights,NSW,2.3,0.4,0.1096784858252748,18,15.0,1095.0,152.0,-33.7647173,151.20939
Chippendale,NSW,2.3,2.2,2.0764991896272287,17,0.0,1013.0,8.0,-33.8863291,151.1998211
Wendouree - Miners Rest,VIC,2.3,0.9,0.165843066786463,18,9.0,910.0,92.0,-37.5309865,143.8266778
Bonnyrigg Heights - Bonnyrigg,NSW,2.3,0.7,0.0591525320688187,15,24.0,843.0,164.0,-33.8888805,150.872562
Rose Bay - Vaucluse - Watsons Bay,NSW,2.3,0.1,-0.0063683593095357,12,22.0,1114.0,168.0,-33.8741644,151.265471
Kingston Beach - Blackmans Bay,TAS,2.2,0.5,0.1774160099543758,20,4.0,1063.0,104.0,-42.9806637,147.3242525
Chelmer - Graceville,QLD,2.2,0.1,0.218811432027824,14,9.0,1113.0,72.0,-27.511992,152.9727635
Mortdale - Oatley,NSW,2.2,1.4,0.1517444940588814,19,24.0,1061.0,200.0,-33.9742698,151.0768645
Narre Warren North,VIC,2.2,-0.3,0.5093121888253734,17,21.0,1068.0,144.0,-37.9813391,145.3129016
Hornsby - West,NSW,2.2,0.5,0.123309053069719,17,12.0,1068.0,72.0,-33.747383,151.050106
Port Lincoln,SA,2.2,0.3,0.1800747715314317,22,28.0,962.0,132.0,-34.7211905,135.8592218
Winston Hills,NSW,2.2,0.3,0.0449375349617751,17,12.0,1083.0,136.0,-33.7761098,150.9816606
Fairfield - Dutton Park,QLD,2.2,2.5,0.5545714285714286,20,4.0,1039.0,24.0,-33.8674403,150.8893222
Greenslopes,QLD,2.1,2.6,0.5329597010942086,21,94.0,1056.0,2224.0,-27.5088321,153.0529626
East Devonport,TAS,2.1,0.8,0.0200849748937813,13,19.0,818.0,148.0,-41.1771167,146.3674132
Keilor,VIC,2.1,1.6,-0.068507814172554,8,17.0,1052.0,164.0,-37.7113545,144.8250696
Hendra,QLD,2.1,0.9,0.4642352275940062,21,10.0,1105.0,68.0,-27.4175215,153.0705448
Coburg North,VIC,2.1,1.2,0.395160031225605,18,10.0,1017.0,116.0,-37.7272635,144.9678538
Clontarf,QLD,2.1,1.4,0.1284987277353689,15,11.0,965.0,136.0,-27.9782975,151.223106
Mount Hutton - Windale,NSW,2.1,0.6,0.1245642574947711,19,26.0,873.0,92.0,-32.9816667,151.6705556
Wynyard,TAS,2.1,1.0,0.1404045554988951,16,31.0,919.0,168.0,-33.8659903,151.2058096
Hampton Park - West,VIC,2.1,0.5,0.3397878758392527,19,5.0,893.0,106.0,-31.8914463,115.9214779
St Clair,NSW,2.1,0.8,-0.052141960091167,7,45.0,999.0,220.0,-33.7983333,150.7844444
Nuriootpa,SA,2.1,1.8,0.5818255743037203,22,38.0,985.0,220.0,-34.4693354,138.9939006
North Adelaide,SA,2.1,1.4,0.1448146994705699,15,4.0,1058.0,68.0,-34.9085015,138.5953502
Maroubra - South,NSW,2.1,1.1,0.0867764705882352,11,32.0,989.0,336.0,-33.939706,151.238456
Camperdown - Darlington,NSW,2.1,1.9,0.4268745360059391,18,1.0,1087.0,12.0,-33.8892546,151.1909947
Elizabeth East,SA,2.1,0.2,0.1168238750579867,14,45.0,834.0,58.0,-34.7260216,138.6815148
Annandale (NSW),NSW,2.1,1.3,0.1659624413145539,21,9.0,1096.0,20.0,-33.8812281,151.1705459
Youngtown - Relbia,TAS,2.1,1.5,0.3832587523032377,17,12.0,997.0,212.0,-41.4822455,147.1664955
Blue Haven - San Remo,NSW,2.1,0.5,0.2896459882365997,20,14.0,920.0,32.0,-33.2108061,151.5041066
Mullaloo - Kallaroo,WA,2.1,2.6,0.0618015012510425,13,17.0,1089.0,176.0,-31.790783,115.7330152
Safety Bay - Shoalwater,WA,2.0,1.9,0.1513238646326495,15,16.0,985.0,172.0,-32.2865857,115.7105305
Bendigo Surrounds - South,VIC,2.0,1.9,0.802692384970866,22,29.0,1068.0,176.0,,
Hackham - Onkaparinga Hills,SA,2.0,1.0,0.177938808373591,16,29.0,965.0,92.0,-35.1471432,138.5314176
Riverwood,NSW,2.0,2.1,0.3220412595005429,17,43.0,856.0,66.0,-33.9472222,151.0530556
Southern Highlands,NSW,2.0,1.2,0.3254682997118155,21,26.0,1055.0,268.0,-34.4706676,150.4184048
Kiama Hinterland - Gerringong,NSW,2.0,0.3,0.2036623492630638,18,20.0,1080.0,140.0,,
St Albans - South,VIC,2.0,1.5,0.0443856554967666,15,18.0,821.0,84.0,-37.7534166,144.81281
Claremont (Tas.),TAS,1.9,0.5,0.165606819104316,17,29.0,924.0,162.0,-42.7911145,147.2552523
Thornlie,WA,1.9,1.4,0.0811140561235222,15,18.0,977.0,72.0,-32.0473367,115.9523821
Triabunna - Bicheno,TAS,1.9,0.8,0.3199598796389167,20,53.0,950.0,262.0,-42.504035,147.9139308
Bundall,QLD,1.9,0.3,0.2129386488422057,20,9.0,1056.0,192.0,-28.0112822,153.4080912
North Ipswich - Tivoli,QLD,1.9,0.8,0.0970632155301144,16,25.0,931.0,20.0,-27.5911329,152.764516
Doolandella,QLD,1.9,2.9,1.8952972493345164,22,10.0,972.0,144.0,-27.6170218,152.982537
Keysborough - North,VIC,1.9,-0.2,-0.0793437823992193,7,10.0,914.0,392.0,-38.0053607,145.1674069
Blaxland - Warrimoo - Lapstone,NSW,1.9,0.3,-0.0034182722187694,12,14.0,1081.0,160.0,-33.7460755,150.6092697
Blackburn South,VIC,1.9,0.3,0.0443962673201998,16,16.0,1054.0,152.0,-37.8388322,145.1487848
