sa2_name,lat,lon
Yagoona - Birrong,-33.9067491,151.0243075
Fitzroy,-37.8010382,144.9792611
Greenwich - Riverview,-33.8300104,151.1855621
Surfers Paradise - North,-27.9927991,153.4292802
Croydon - East,-37.7965144,145.2568168
Broome,-17.9566909,122.2240181
Edmondson Park,-33.9628336,150.8563294
Fremantle,-32.0534086,115.7586172
Upper Coomera - North,-27.8529809,153.2982761
Concord - Mortlake - Cabarita,-33.8556716,151.1067667
Denman Prospect,-35.2945757,149.0270241
Glenelg (SA),-34.9800892,138.5163001
Seaford (Vic.),-38.119156,145.1467551
Sorell - Richmond,-42.7885865,147.6670832
Old Bar - Manning Point - Red Head,-31.9526029,152.5551274
Palmwoods,-26.692799,152.9608607
Camillo - Champion Lakes,-32.112701,116.0031528
Doncaster East - South,-37.7788744,145.1638815
St Marys - North St Marys,-33.7614134,150.7820661
Rothwell - Kippa-Ring,-27.2153199,153.0478394
Cabramatta West - Mount Pritchard,-33.8970093,150.9128236
Andergrove - Beaconsfield,-21.097549,149.1768866
Gympie - North,-26.1595375,152.683051
Punchbowl,-33.928717,151.0522591
Edwardstown,-34.9802157,138.5694275
Upper Mount Gravatt,-27.5557025,153.0807674
Armidale,-30.5144881,151.6656564
Bentleigh East - South,-37.9221088,145.083111
Southport - South,-27.9724106,153.4154689
Broadmeadows,-37.6830526,144.9194859
Port Melbourne Industrial,-37.8308777,144.9278154
Goulburn,-34.7523871,149.7198009
Doveton,-37.9887542,145.2385975
Nerang - Mount Nathan,-27.9685757,153.2981312
Prahran - Windsor,-37.8519747,144.9912853
Nowra,-34.8741198,150.6004709
Reservoir - South West,-33.8991078,151.1245648
Caulfield - North,-37.870828,145.0218005
Kallangur,-27.2508529,152.9927887
Prospect,-34.8827359,138.5928622
Yarraville,-37.8157385,144.8899709
Epping (NSW) - West,-33.8052684,151.1511496
Indooroopilly,-27.5065612,152.9822777
Toongabbie - Constitution Hill,-33.797399,150.9801193
Ashfield - South,-33.8870769,151.1253541
Yokine - Coolbinia - Menora,-31.90171,115.8525017
Eaton - Pelican Point,-33.3126472,115.7006193
Boonah,-27.991084,152.6962154
Kogarah,-33.968226,151.1354509
Burleigh Heads,-28.1021343,153.4395799
Lennox Head - Skennars Head,-28.8228897,153.6010642
Summerland Point - Gwandalan,-33.1467501,151.5739189
Carlton,-37.8004228,144.9684343
Fairfield - West,-33.8689308,150.9243383
Blacktown (North) - Marayong,-33.7401885,150.8648355
Seaford - Seaford Meadows,-35.1803482,138.4897717
Greystanes - South,-33.828883,150.952044
Docklands,-37.8175423,144.9394923
Bundaberg Surrounds - South,,
Caulfield - South,-37.894699,145.0249323
Frankston,-38.1457064,145.1263742
Augustine Heights - Brookwater,-27.660554,152.8792482
Margaret River,-33.9531776,115.0769369
Knoxfield - Scoresby,-37.8828919,145.2571379
Coomera,-27.84883,153.3296968
Burwood (NSW),-33.8859527,151.0930653
Dromana,-38.3418285,144.9655838
Byron Bay,-28.6483333,153.6177778
Moorabbin - Heatherton,-37.9474369,145.0797731
Lockyer Valley - West,-27.680931,152.199498
Gymea - Grays Point,-34.0341447,151.085653
Mermaid Beach - Broadbeach,-28.0367569,153.4332442
Bondi Beach - North Bondi,-33.8923133,151.2753137
Hawthorn - South,-34.9759652,138.6106331
Halls Head - Erskine,-32.5558396,115.6970469
Wagga Wagga - South,-35.125778,147.329744
Bentley - Wilson - St James,-32.0084461,115.9065455
Lawnton,-27.2826166,152.9808511
Warwick,-28.2163204,152.0327039
Shepparton - South East,-36.3831633,145.3988874
Ringwood East,-37.811709,145.2500979
West Lakes,-34.8759925,138.4982893
Christies Beach,-35.1395801,138.4697587
Uraidla - Summertown,-34.9571359,138.7456739
Capalaba,-27.522037,153.1918063
Chatswood - East,-24.8581773,152.3796069
Bundamba,-27.6044365,152.8114881
Peregian Springs,-26.4949465,153.0681201
Noosaville,-26.4248421,153.05751
Claymore - Eagle Vale - Raby,-34.0469444,150.81
Wahroonga (East) - Warrawee,-33.7183413,151.1174435
