sa2_code,sa2_name,state,sa4_name,erp_change_pct,years_of_growth,growth_20yr,dwellings_2526_fytd,high_pressure,urban_renewal_score,pressure_score,national_rank,signal
107011134,Unanderra - Mount Kembla,NSW,Illawarra,0.5,8,-0.0460448642266824,14.0,0,0.08169252252539812,14.5,2055,Moderate
107011545,Berkeley - Lake Heights - Cringila,NSW,Illawarra,0.4,11,0.0316965257126278,19.0,0,0.08128739418737228,20.1,1768,Moderate
107011546,Port Kembla - Warrawong,NSW,Illawarra,0.1,9,-0.0395229647151586,8.0,0,0.06585682035631266,14.1,2076,Moderate
107011547,Windang - Primbee,NSW,Illawarra,0.5,7,0.0180897250361794,13.0,0,0.02310557534156308,11.8,2170,Moderate
107021135,Illawarra Catchment Reserve,NSW,Illawarra,0.0,0,-0.5714285714285714,0.0,0,0.0,3.7,2384,Moderate
107031136,Albion Park - Macquarie Pass,NSW,Illawarra,5.0,22,0.9449061777054236,236.0,1,0.7220538620150008,94.9,35,Critical
107031137,Albion Park Rail,NSW,Illawarra,0.0,5,-0.0985767000527148,4.0,0,0.09831886736194898,14.9,2035,Moderate
107031138,Kiama,NSW,Illawarra,1.3,19,0.3455223880597015,29.0,0,0.06581647608391639,26.9,1338,Moderate
107031139,Kiama Downs - Minnamurra,NSW,Illawarra,0.4,10,-0.0557667934093789,7.0,0,0.04971056301608028,15.3,2016,Moderate
107031140,Kiama Hinterland - Gerringong,NSW,Illawarra,0.3,18,0.2036623492630638,20.0,0,0.03974480847097563,22.1,1637,Moderate
107031141,Shellharbour - Flinders,NSW,Illawarra,1.8,22,1.5147347740667976,60.0,1,0.3194157652014438,43.4,583,Moderate
107031142,Shellharbour - Oak Flats,NSW,Illawarra,2.1,17,0.0776718120145511,31.0,1,0.3073001540921311,47.6,484,Moderate
107031143,Warilla,NSW,Illawarra,0.8,12,-0.0560649124415513,47.0,1,0.5728464371673917,51.6,410,Moderate
107041144,Balgownie - Fairy Meadow,NSW,Illawarra,0.9,14,0.1082448407132839,54.0,0,0.17953421666259053,35.0,872,Moderate
107041145,Corrimal - Tarrawanna - Bellambi,NSW,Illawarra,0.7,15,0.0562792787011486,237.0,0,0.16608421433231238,36.6,799,Moderate
107041146,Figtree - Keiraville,NSW,Illawarra,0.7,21,0.1855540465771339,37.0,0,0.1984706986216715,37.7,758,Moderate
107041147,Helensburgh,NSW,Illawarra,0.4,17,0.123660549328735,16.0,0,0.047586032048371425,19.3,1807,Moderate
107041148,Thirroul - Austinmer - Coalcliff,NSW,Illawarra,0.5,18,0.1405645237420938,25.0,0,0.14349705053480688,32.1,1024,Moderate
107041150,Woonona - Bulli - Russell Vale,NSW,Illawarra,0.6,19,0.2084711343196983,38.0,0,0.17706245693491557,35.3,854,Moderate
107041548,Wollongong - East,NSW,Illawarra,4.2,21,0.8218125960061444,273.0,1,2.1820685151188863,96.7,14,Critical
