sa2_code,sa2_name,state,sa4_name,composite_score_final,v9_national_rank,high_pressure_v9,urban_renewal_score,years_of_growth
104021084,Coffs Harbour - North,NSW,Coffs Harbour - Grafton,3.5480487192019488,887,0,0.26201131491333396,21
108051170,Taree Surrounds,NSW,Mid North Coast,3.5479854581936463,888,0,0.13761871587533803,22
210011533,Avondale Heights,VIC,Melbourne - North West,3.5475552258405183,889,0,0.17961255077367064,15
402041172,Pooraka - Cavan,SA,Adelaide - North,3.5404079321248116,890,0,0.18754330944620684,21
111031228,Merewether - The Junction,NSW,Newcastle and Lake Macquarie,3.533905542232337,891,0,0.20584029163204542,18
801011143,Strathnairn,ACT,Australian Capital Territory,3.530026884027823,892,0,0.12268560071121337,14
314031394,Strathpine - Brendale,QLD,Moreton Bay - South,3.5286519718054765,893,0,0.06947453515149707,22
115011555,Castle Hill - North,NSW,Sydney - Baulkham Hills and Hawkesbury,3.5204734761560825,894,0,0.12412751467718915,18
302011025,Everton Park,QLD,Brisbane - North,3.5157465727605914,895,0,0.1317815643186974,20
204021063,Benalla,VIC,Hume,3.510692786140413,896,0,0.21058063927852846,16
319051526,Tinana,QLD,Wide Bay,3.507231251996444,897,0,0.1007071751308511,22
119031666,Mortdale - Oatley,NSW,Sydney - Inner South West,3.5055384630301383,898,0,0.1251313474341629,19
604021087,Latrobe,TAS,West and North West,3.4985932967246463,899,0,0.12873308280319726,22
302041046,Zillmere,QLD,Brisbane - North,3.4981710885630863,900,0,0.0979071109888287,18
208031190,Mentone,VIC,Melbourne - Inner South,3.4940312504516737,901,0,0.11726654893190445,19
125041489,North Parramatta,NSW,Sydney - Parramatta,3.4923601231871912,902,0,0.18695945497465846,19
314011387,Samford Valley,QLD,Moreton Bay - South,3.4921214567460455,903,0,0.13062945404045037,22
119021367,Roselands,NSW,Sydney - Inner South West,3.4917775782841654,904,0,0.13675942926443851,19
206011498,Coburg - West,VIC,Melbourne - Inner,3.487131266465118,905,0,0.08230739330709454,18
208021179,Elsternwick,VIC,Melbourne - Inner South,3.4844179234248647,906,0,0.0921571504211586,20
119031665,Hurstville - North,NSW,Sydney - Inner South West,3.4841620750573368,907,0,0.09102060824169475,17
407011147,Strathalbyn Surrounds,SA,South Australia - South East,3.4819728141961477,908,0,0.09733135356645911,22
210021235,Romsey,VIC,Melbourne - North West,3.4807194836081847,909,0,0.05920899454914684,22
209041528,Doreen - South,VIC,Melbourne - North East,3.4798662574307153,910,0,0.0637189859696073,22
402051055,St Agnes - Ridgehaven,SA,Adelaide - North,3.4781908382432882,911,0,0.17596634792547408,18
403041178,Seaford Rise - Moana,SA,Adelaide - South,3.47637618771092,912,0,0.06783955673064027,22
127011596,Hoxton Park - Carnes Hill - Horningsea Park,NSW,Sydney - South West,3.475177495114836,913,0,0.11604034835560895,22
309101267,Benowa,QLD,Gold Coast,3.474150920384262,914,0,0.06892199356966251,22
501031018,Donnybrook - Balingup,WA,Bunbury,3.470100514040911,915,0,0.09472667667741816,21
310021281,Lowood,QLD,Ipswich,3.469025983258999,916,0,0.10935218865572698,21
111031225,Lambton - New Lambton,NSW,Newcastle and Lake Macquarie,3.4679359985439637,917,0,0.1498665637937827,18
319021509,Nanango,QLD,Wide Bay,3.466909569903335,918,0,0.0736375788261986,22
202021028,Castlemaine Surrounds,VIC,Bendigo,3.4663179168087623,919,0,0.05694590685718294,22
109011175,Albury Surrounds,NSW,Murray,3.4656233201191147,920,0,0.11940272013983917,19
305011107,Highgate Hill,QLD,Brisbane Inner City,3.4639335711656645,921,0,0.03496906547511833,18
112031254,Tweed Heads,NSW,Richmond - Tweed,3.4631830972380273,922,0,0.07042666666666665,22
210051542,Craigieburn - North West,VIC,Melbourne - North West,3.4628842062008447,923,0,0.12937878353911492,18
119041382,Sans Souci - Ramsgate,NSW,Sydney - Inner South West,3.4616987864156545,924,0,0.22510623585406547,16
319031511,Cooloola,QLD,Wide Bay,3.4616465581832476,925,0,0.06803258517405601,22
211041270,Mitcham (Vic.),VIC,Melbourne - Outer East,3.461642236822406,926,0,0.11256097683220487,21
303041067,Coopers Plains,QLD,Brisbane - South,3.460893943365687,927,0,0.06418248765005304,20
125031480,Fairfield - East,NSW,Sydney - Parramatta,3.458306070335499,928,0,0.1082257109891446,17
119011655,Greenacre - North,NSW,Sydney - Inner South West,3.45766983476946,929,0,0.10189659638065901,21
308031210,Gracemere,QLD,Central Queensland,3.4575856295548504,930,0,0.1056864970004298,22
401021009,Nairne,SA,Adelaide - Central and Hills,3.4558106243940765,931,0,0.1251823138926953,22
309051244,Mudgeeraba - Bonogin,QLD,Gold Coast,3.4548027221963595,932,0,0.10823997184862227,22
306051166,Atherton,QLD,Cairns,3.4508109771545388,933,0,0.08154219940677494,22
210011230,Niddrie - Essendon West,VIC,Melbourne - North West,3.450150735993214,934,0,0.12230295600132458,21
206051129,Elwood,VIC,Melbourne - Inner,3.449177844492821,935,0,0.0431148081568946,17
801101135,Coombs,ACT,Australian Capital Territory,3.4468550016653516,936,0,0.17476634431427057,11
405011111,Light,SA,Barossa - Yorke - Mid North,3.444946453567855,937,0,0.09943037235993095,21
111021221,West Wallsend - Barnsley - Killingworth,NSW,Newcastle and Lake Macquarie,3.4409446325314605,938,0,0.23341911670361762,16
125021711,Carlingford - East,NSW,Sydney - Parramatta,3.440372765997571,939,0,0.12931701198930956,19
209011197,Greensborough,VIC,Melbourne - North East,3.439128506735722,940,0,0.1549656739806468,15
203031052,Point Lonsdale - Queenscliff,VIC,Geelong,3.4381110003099518,941,0,0.12828887813020112,17
127021511,Cabramatta - Lansvale,NSW,Sydney - South West,3.4369871582632863,942,0,0.15644917476125492,15
504011044,Bassendean - Eden Hill - Ashfield,WA,Perth - North East,3.4359893930884375,943,0,0.17780920652009474,16
202021026,Bendigo Surrounds - South,VIC,Bendigo,3.434027574668043,944,0,0.08943236522569081,22
201011008,Wendouree - Miners Rest,VIC,Ballarat,3.4328402532305446,945,0,0.22462112066729484,18
112031253,Pottsville,NSW,Richmond - Tweed,3.432456734500808,946,0,0.15344888861541828,22
