sa2_code,sa2_name,state,sa4_name,v9_score,v9_rank,high_pressure_v9,saturation_index,v10_score,v10_rank,top_3_drivers,sa4_rank,high_pressure_pct
101041018,Batemans Bay - South,NSW,Capital Region,2.905873204345004,1210,0,0.014541675170288943,2.8636169401213727,1216,erp_change_pct: -2.056 | urban_renewal_score: -1.904 | years_of_growth: -0.842,54,18.5
311041567,Flagstone (East) - Riverbend,QLD,Logan - Beaudesert,2.873701086740513,1226,0,0.003583661965018103,2.8634027134571296,1217,total_dwellings_2024-25: -2.330 | urban_renewal_score: -1.995 | peak_year_approvals: -1.063,10,37.1
212051327,Wheelers Hill,VIC,Melbourne - South East,2.9075994117609487,1206,0,0.015815108700558522,2.8616154110062695,1218,urban_renewal_score: -1.840 | erp_change_pct: -1.477 | total_dwellings_2024-25: -1.023,19,44.6
201031014,Beaufort,VIC,Ballarat,2.8743598441433758,1225,0,0.004777529762272242,2.8606275044405005,1219,total_dwellings_2024-25: -2.244 | urban_renewal_score: -2.038 | lot_approvals_2yr: -1.143,55,11.1
313021367,Elimbah,QLD,Moreton Bay - North,2.867841696112891,1231,0,0.003992640045662757,2.8563914365123693,1220,total_dwellings_2024-25: -2.274 | urban_renewal_score: -1.980 | lot_approvals_2yr: -1.175,2,63.6
402051051,Highbury - Dernancourt,SA,Adelaide - North,2.88516511854316,1220,0,0.01003964491377913,2.856199085235365,1221,urban_renewal_score: -2.144 | erp_change_pct: -1.390 | peak_year_approvals: -1.052,24,33.3
119031667,Penshurst,NSW,Sydney - Inner South West,2.8650596464005145,1236,0,0.00332152619624533,2.85554327573119,1222,total_dwellings_2024-25: -1.890 | urban_renewal_score: -1.853 | peak_year_approvals: -1.038,28,29.3
128021536,Oyster Bay - Como - Jannali,NSW,Sydney - Sutherland,2.8810297738248063,1222,0,0.009076546733827986,2.8548799724411356,1223,urban_renewal_score: -2.005 | total_dwellings_2024-25: -1.556 | erp_change_pct: -1.138,51,29.4
209041531,Mernda - North,VIC,Melbourne - North East,2.9054635272285005,1211,0,0.018612152070832118,2.8513865982234674,1224,total_dwellings_2024-25: -2.309 | urban_renewal_score: -2.001 | lot_approvals_2yr: -1.217,32,31.0
115011556,Castle Hill - South,NSW,Sydney - Baulkham Hills and Hawkesbury,2.865331251081714,1234,0,0.005229402581157356,2.8503472804414365,1225,total_dwellings_2024-25: -2.117 | urban_renewal_score: -2.092 | lot_approvals_2yr: -1.095,38,35.0
201021009,Bacchus Marsh Surrounds,VIC,Ballarat,2.870530989559513,1230,0,0.007117766908387597,2.850099219072525,1226,total_dwellings_2024-25: -2.235 | urban_renewal_score: -2.107 | lot_approvals_2yr: -1.146,55,11.1
120021389,Lilyfield - Rozelle,NSW,Sydney - Inner West,2.863010283142499,1239,0,0.004724438252354766,2.849484167843935,1227,urban_renewal_score: -1.926 | total_dwellings_2024-25: -1.880 | peak_year_approvals: -1.034,30,33.3
128021607,Engadine,NSW,Sydney - Sutherland,2.889000945498416,1217,0,0.013875464973882229,2.8489147140696396,1228,urban_renewal_score: -1.988 | total_dwellings_2024-25: -1.742 | erp_change_pct: -1.229,51,29.4
319021506,Kingaroy Surrounds - North,QLD,Wide Bay,2.865064885131902,1235,0,0.005948694813190716,2.848021488510263,1229,urban_renewal_score: -2.036 | total_dwellings_2024-25: -1.107 | peak_year_approvals: -1.056,25,34.3
